origin_airport,dest_airport,distance,totdepartures,totpassengers,totfreight,totmail,totdepartures_cat,totpassengers_cat
SJC,FAT,129,3,50,0,0,1.0,1.0
SJC,LAX,308,7986,597940,276369,8,8.0,8.0
SJC,LGB,324,2,52,23182,0,1.0,1.0
SJC,NTD,274,1,154,0,0,1.0,1.0
SJC,ONT,333,1419,141848,54844,0,4.0,4.0
SJC,PSP,390,1,7,0,0,1.0,1.0
SJC,SAN,417,3259,367984,190556,0,6.0,6.0
SJC,SBA,234,7,54,0,0,1.0,1.0
SJC,SMO,302,1,3,0,0,1.0,1.0
SJC,SNA,342,2931,340675,71204,0,6.0,6.0
SJC,TVL,149,1,6,0,0,1.0,1.0
SJC,VNY,291,1,0,0,0,1.0,1.0
SMF,ACV,207,102,0,169645,0,1.0,1.0
SMF,BFL,265,3,155,0,0,1.0,1.0
SMF,BUR,358,2246,240711,125020,0,5.0,5.0
SMF,CEC,255,293,0,339476,0,2.0,1.0
SMF,EKA,198,529,0,848255,0,2.0,1.0
SMF,FAT,167,2,50,0,0,1.0,1.0
SMF,LAX,373,7249,557877,252543,1,8.0,8.0
SMF,LGB,387,717,88053,0,0,3.0,3.0
SMF,MRY,146,1,0,0,0,1.0,1.0
SMF,O85,137,2,0,2200,0,1.0,1.0
SMF,ONT,390,2232,249702,76906,0,5.0,5.0
SMF,RDD,131,461,0,711430,0,2.0,1.0
SMF,SAN,480,3021,355420,168692,0,6.0,6.0
SMF,SBA,310,2,0,0,0,1.0,1.0
SMF,SMX,269,1,0,0,0,1.0,1.0
SMF,SNA,404,2305,282938,81829,0,5.0,5.0
SMF,VIS,204,519,1998,0,0,2.0,1.0
SMF,VWD,196,1,8,0,0,1.0,1.0
SMF,XXN,109,1,0,470,0,1.0,1.0
SMF,XXY,187,2,0,1500,0,1.0,1.0
SMF,ZXC,251,4,0,4310,0,1.0,1.0
SMO,OAK,332,1,2,0,0,1.0,1.0
SMO,SAN,115,1,6,0,0,1.0,1.0
SMO,SFO,332,2,5,0,0,1.0,1.0
SMO,SJC,302,1,2,0,0,1.0,1.0
SMX,LAX,134,247,4523,0,0,2.0,1.0
SMX,ONT,173,573,0,1005683,0,2.0,1.0
SMX,PSP,238,1,0,0,0,1.0,1.0
SMX,RDD,400,1,100,0,0,1.0,1.0
SMX,SAN,240,1,0,0,0,1.0,1.0
SMX,SCK,211,2,68,0,0,1.0,1.0
SMX,SFO,216,469,14451,0,0,2.0,1.0
SNA,BFL,139,1,6,0,0,1.0,1.0
SNA,MRY,302,3,134,0,0,1.0,1.0
SNA,OAK,371,2707,326696,128015,0,6.0,6.0
SNA,SBA,124,1,1,0,0,1.0,1.0
SNA,SFO,372,4600,439650,102198,5177,7.0,7.0
SNA,SJC,342,2929,341669,71637,0,6.0,6.0
SNA,SMF,404,2314,280800,61194,0,5.0,5.0
STS,BUR,387,2,0,0,0,1.0,1.0
STS,LAX,399,172,10849,121,0,1.0,1.0
STS,LAX,400,816,48530,180,0,3.0,2.0
STS,SAN,508,365,24584,160,0,2.0,2.0
